Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 19.82      0.21     0.21  6000000     0.00     0.00  std::move_iterator<double*> std::__make_move_if_noexcept_iterator<double, std::move_iterator<double*> >(double*)
  6.61      0.28     0.07 15000000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  3.77      0.32     0.04  6750000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  3.77      0.36     0.04  6000000     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<double*>(std::move_iterator<double*>)
  2.83      0.39     0.03  8252104     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  2.83      0.42     0.03  4500000     0.00     0.00  bool __gnu_cxx::operator!=<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  2.83      0.45     0.03  1500000     0.00     0.00  std::vector<double, std::allocator<double> >::_M_check_len(unsigned long, char const*) const
  1.89      0.47     0.02  3002100     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > std::__miter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  1.89      0.49     0.02  3001052     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  1.89      0.51     0.02  3001052     0.00     0.00  std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long)
  1.89      0.53     0.02  3000000     0.00     0.00  std::vector<double, std::allocator<double> >::end()
  1.89      0.55     0.02  3000000     0.00     0.00  std::remove_reference<double&>::type&& std::move<double&>(double&)
  1.89      0.57     0.02  1501052     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long)
  1.89      0.59     0.02  1501050     0.00     0.00  std::vector<double, std::allocator<double> >::vector(std::vector<double, std::allocator<double> > const&)
  1.89      0.61     0.02  1501050     0.00     0.00  double* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  1.89      0.63     0.02  1500000     0.00     0.00  void std::vector<double, std::allocator<double> >::emplace_back<double>(double&&)
  1.89      0.65     0.02  1500000     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_realloc_insert<double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double&&)
  1.42      0.67     0.02  6000000     0.00     0.00  std::move_iterator<double*>::base() const
  1.42      0.68     0.02  3752104     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  1.42      0.70     0.02  3751052     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  1.42      0.71     0.02  3000000     0.00     0.00  double* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.94      0.72     0.01  7501050     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.94      0.73     0.01  6001052     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.94      0.74     0.01  6000000     0.00     0.00  double* std::__miter_base<double*>(double*)
  0.94      0.75     0.01  4500000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator++()
  0.94      0.76     0.01  3751052     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.94      0.77     0.01  3751052     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  0.94      0.78     0.01  3750000     0.00     0.00  std::vector<double, std::allocator<double> >::begin()
  0.94      0.79     0.01  3001052     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  0.94      0.80     0.01  3000000     0.00     0.00  double* std::__copy_move_a<true, double*, double*>(double*, double*, double*)
  0.94      0.81     0.01  3000000     0.00     0.00  double* std::__uninitialized_copy_a<std::move_iterator<double*>, double*, double>(std::move_iterator<double*>, std::move_iterator<double*>, double*, std::allocator<double>&)
  0.94      0.82     0.01  3000000     0.00     0.00  double* std::copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.94      0.83     0.01  2251052     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.94      0.84     0.01  1535800     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long)
  0.94      0.85     0.01  1501050     0.00     0.00  std::vector<double, std::allocator<double> >::end() const
  0.94      0.86     0.01  1501050     0.00     0.00  std::vector<double, std::allocator<double> >::begin() const
  0.94      0.87     0.01  1501050     0.00     0.00  double* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.94      0.88     0.01  1501050     0.00     0.00  std::allocator_traits<std::allocator<double> >::select_on_container_copy_construction(std::allocator<double> const&)
  0.94      0.89     0.01  1501050     0.00     0.00  double* std::uninitialized_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  0.94      0.90     0.01  1501050     0.00     0.00  double* std::copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  0.94      0.91     0.01  1500000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::difference_type __gnu_cxx::operator-<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  0.94      0.92     0.01  1500000     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double&&)
  0.94      0.93     0.01  1500000     0.00     0.00  __gnu_cxx::__promote_2<double, int, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<double, int>(double, int)
  0.94      0.94     0.01   752100     0.00     0.00  std::vector<double, std::allocator<double> >* std::__addressof<std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >&)
  0.94      0.95     0.01   750002     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
