Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 17.65      0.15     0.15  4800000     0.03     0.03  std::move_iterator<double*> std::__make_move_if_noexcept_iterator<double, std::move_iterator<double*> >(double*)
  8.24      0.22     0.07  2400000     0.03     0.06  double* std::uninitialized_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  7.06      0.28     0.06  1200000     0.05     0.41  void std::vector<double, std::allocator<double> >::_M_realloc_insert<double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double&&)
  4.71      0.32     0.04 12000000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  4.71      0.36     0.04  1801052     0.02     0.03  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  3.53      0.39     0.03  6602104     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  2.35      0.41     0.02  6001050     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  2.35      0.43     0.02  3000000     0.01     0.01  std::vector<double, std::allocator<double> >::begin()
  2.35      0.45     0.02  2402100     0.01     0.01  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  2.35      0.47     0.02  2400000     0.01     0.01  double* std::__copy_move_a<true, double*, double*>(double*, double*, double*)
  2.35      0.49     0.02  2400000     0.01     0.14  double* std::__uninitialized_move_if_noexcept_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&)
  2.35      0.51     0.02  1801052     0.01     0.05  std::vector<double, std::allocator<double> >::~vector()
  2.35      0.53     0.02  1201050     0.02     0.12  std::vector<double, std::allocator<double> >::vector(std::vector<double, std::allocator<double> > const&)
  2.35      0.55     0.02  1201050     0.02     0.05  double* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*, double>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*, std::allocator<double>&)
  1.77      0.57     0.02  2400000     0.01     0.03  double* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  1.77      0.58     0.02  2400000     0.01     0.02  double* std::__copy_move_a2<true, double*, double*>(double*, double*, double*)
  1.18      0.59     0.01  8401052     0.00     0.00  double* std::__niter_base<double*>(double*)
  1.18      0.60     0.01  4800000     0.00     0.00  std::move_iterator<double*>::move_iterator(double*)
  1.18      0.61     0.01  4800000     0.00     0.00  double* std::__miter_base<double*>(double*)
  1.18      0.62     0.01  4800000     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  1.18      0.63     0.01  3600000     0.00     0.01  bool __gnu_cxx::operator!=<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  1.18      0.64     0.01  3001052     0.00     0.01  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  1.18      0.65     0.01  2402102     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  1.18      0.66     0.01  2402100     0.00     0.00  double const* std::__niter_base<double const*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  1.18      0.67     0.01  2401052     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  1.18      0.68     0.01  2401052     0.00     0.01  std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long)
  1.18      0.69     0.01  2400000     0.00     0.00  std::vector<double, std::allocator<double> >::end()
  1.18      0.70     0.01  2400000     0.00     0.07  double* std::__uninitialized_copy_a<std::move_iterator<double*>, double*, double>(std::move_iterator<double*>, std::move_iterator<double*>, double*, std::allocator<double>&)
  1.18      0.71     0.01  2400000     0.00     0.03  double* std::copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  1.18      0.72     0.01  1201052     0.01     0.01  std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&)
  1.18      0.73     0.01  1201050     0.01     0.02  std::vector<double, std::allocator<double> >::begin() const
  1.18      0.74     0.01  1201050     0.01     0.03  double* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  1.18      0.75     0.01  1201050     0.01     0.02  double* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  1.18      0.76     0.01  1200000     0.01     0.02  std::vector<double, std::allocator<double> >::_M_check_len(unsigned long, char const*) const
  1.18      0.77     0.01   602100     0.02     0.02  std::vector<double, std::allocator<double> >* std::__addressof<std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >&)
  1.18      0.78     0.01   600000     0.02     1.04  vectors_distance(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >)
  1.18      0.79     0.01   600000     0.02     0.02  std::vector<double, std::allocator<double> >::vector()
  1.18      0.80     0.01   600000     0.02     0.05  double std::accumulate<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double)
  1.18      0.81     0.01   600000     0.02     0.87  std::back_insert_iterator<std::vector<double, std::allocator<double> > > std::transform<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > >, vectors_distance(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >)::{lambda(double, double)#1}>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, vectors_distance(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >)::{lambda(double, double)#1}, vectors_distance(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >)::{lambda(double, double)#1})
  1.18      0.82     0.01      600    16.67    16.67  compute_new_center(int*, int)
  0.59      0.83     0.01  4800000     0.00     0.00  std::move_iterator<double*>::base() const
  0.59      0.83     0.01  2402100     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > std::__miter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.59      0.84     0.01  1201050     0.00     0.00  double* std::__copy_move_a<false, double const*, double*>(double const*, double const*, double*)
  0.59      0.84     0.01      600     8.34     8.34  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.59      0.85     0.01                             void __gnu_cxx::new_allocator<double>::destroy<double>(double*)
