Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  6.44      0.67     0.67  1309596     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_realloc_insert<double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double&&)
  2.69      0.95     0.28  1420607     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long)
  2.26      1.19     0.24  7301606     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  2.21      1.42     0.23 10815743     0.00     0.00  double* std::__niter_base<double*>(double*)
  2.21      1.65     0.23  5082382     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  2.16      1.87     0.23  6644608     0.00     0.00  std::move_iterator<double*> std::__make_move_if_noexcept_iterator<double, std::move_iterator<double*> >(double*)
  2.07      2.09     0.22  7418347     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  1.97      2.29     0.21  5081588     0.00     0.00  bool __gnu_cxx::operator!=<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  1.97      2.50     0.21  4569794     0.00     0.00  double* std::__miter_base<double*>(double*)
  1.92      2.70     0.20  5963749     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<double*>(std::move_iterator<double*>)
  1.92      2.90     0.20  5612453     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  1.87      3.09     0.20 11338403     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator++()
  1.87      3.29     0.20 24105944     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  1.78      3.47     0.19  6323839     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  1.78      3.66     0.19  2938424     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  1.73      3.84     0.18  4093467     0.00     0.00  std::vector<double, std::allocator<double> >::begin()
  1.73      4.02     0.18  2801986     0.00     0.00  double* std::__uninitialized_move_if_noexcept_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&)
  1.63      4.19     0.17  2052269     0.00     0.00  double* std::copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  1.54      4.35     0.16  2546047     0.00     0.00  std::vector<double, std::allocator<double> >::end()
  1.54      4.51     0.16  1281631     0.00     0.00  std::vector<double, std::allocator<double> >::_M_check_len(unsigned long, char const*) const
  1.54      4.67     0.16  8860965     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  1.54      4.83     0.16   761245     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > > std::transform<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > >, vectors_distance(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >)::{lambda(double, double)#1}>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, vectors_distance(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >)::{lambda(double, double)#1}, vectors_distance(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >)::{lambda(double, double)#1})
  1.44      4.98     0.15 16623022     0.00     0.00  std::allocator<double>::~allocator()
  1.44      5.13     0.15  5217574     0.00     0.00  std::vector<double, std::allocator<double> >::vector(std::vector<double, std::allocator<double> > const&)
  1.44      5.28     0.15  3427118     0.00     0.00  double* std::__uninitialized_copy_a<std::move_iterator<double*>, double*, double>(std::move_iterator<double*>, std::move_iterator<double*>, double*, std::allocator<double>&)
  1.44      5.43     0.15  4868880     0.00     0.00  std::move_iterator<double*>::move_iterator(double*)
  1.44      5.58     0.15  3274869     0.00     0.00  std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long)
  1.44      5.73     0.15  3222846     0.00     0.00  std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long)
  1.35      5.87     0.14  2668031     0.00     0.00  double* std::__copy_move_a<true, double*, double*>(double*, double*, double*)
  1.30      6.00     0.14  8468451     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  1.25      6.13     0.13  3112618     0.00     0.00  double* std::__copy_move_a2<true, double*, double*>(double*, double*, double*)
  1.15      6.25     0.12  3291819     0.00     0.00  double const* std::__niter_base<double const*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  1.15      6.37     0.12  2927196     0.00     0.00  std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&)
  1.06      6.48     0.11 14554963     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  1.06      6.59     0.11  2680104     0.00     0.00  double* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  1.06      6.70     0.11  1157192     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&)
