Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 24.64      0.17     0.17  4800000     0.04     0.04  std::move_iterator<double*> std::__make_move_if_noexcept_iterator<double, std::move_iterator<double*> >(double*)
  5.07      0.21     0.04  3600000     0.01     0.01  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator*() const
  3.62      0.23     0.03  1201050     0.02     0.02  double* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  2.90      0.25     0.02 12000000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  2.90      0.27     0.02  5400000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  2.90      0.29     0.02  3600000     0.01     0.01  bool __gnu_cxx::operator!=<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&)
  2.90      0.31     0.02  3000000     0.01     0.01  std::vector<double, std::allocator<double> >::begin()
  2.90      0.33     0.02  2402100     0.01     0.01  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > std::__miter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  2.90      0.35     0.02  2400000     0.01     0.01  std::vector<double, std::allocator<double> >::end()
  2.90      0.37     0.02  2400000     0.01     0.01  double* std::copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  2.90      0.39     0.02  1201050     0.02     0.07  double* std::uninitialized_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  2.90      0.41     0.02  1200000     0.02     0.25  void std::vector<double, std::allocator<double> >::_M_realloc_insert<double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double&&)
  2.90      0.43     0.02   600000     0.03     0.68  std::back_insert_iterator<std::vector<double, std::allocator<double> > > std::transform<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > >, vectors_distance(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >)::{lambda(double, double)#1}>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, vectors_distance(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >)::{lambda(double, double)#1}, vectors_distance(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >)::{lambda(double, double)#1})
  1.45      0.44     0.01  6001050     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  1.45      0.45     0.01  3600000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator++()
  1.45      0.46     0.01  3002104     0.00     0.00  std::allocator<double>::~allocator()
  1.45      0.47     0.01  3001052     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  1.45      0.48     0.01  2402100     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  1.45      0.49     0.01  2401052     0.00     0.01  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  1.45      0.50     0.01  2401052     0.00     0.00  std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long)
  1.45      0.51     0.01  2400000     0.00     0.01  std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&)
  1.45      0.52     0.01  2400000     0.00     0.00  double* std::__copy_move_a<true, double*, double*>(double*, double*, double*)
  1.45      0.53     0.01  2400000     0.00     0.02  double* std::__uninitialized_copy_a<std::move_iterator<double*>, double*, double>(std::move_iterator<double*>, std::move_iterator<double*>, double*, std::allocator<double>&)
  1.45      0.54     0.01  2400000     0.00     0.09  double* std::__uninitialized_move_if_noexcept_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&)
  1.45      0.55     0.01  1801052     0.01     0.02  std::vector<double, std::allocator<double> >::~vector()
  1.45      0.56     0.01  1229500     0.01     0.01  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long)
  1.45      0.57     0.01  1201052     0.01     0.01  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&)
  1.45      0.58     0.01  1201052     0.01     0.01  std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long)
  1.45      0.59     0.01  1201050     0.01     0.03  double* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  1.45      0.60     0.01  1201050     0.01     0.07  double* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*, double>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*, std::allocator<double>&)
  1.45      0.61     0.01  1200000     0.01     0.27  std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator=(double&&)
  1.45      0.62     0.01  1200000     0.01     0.01  std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator*()
  1.45      0.63     0.01  1200000     0.01     0.01  vectors_distance(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >)::{lambda(double, double)#1}::operator()(double, double) const
  1.45      0.64     0.01   600000     0.02     0.86  vectors_distance(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >)
  1.45      0.65     0.01   600000     0.02     0.02  std::_Vector_base<double, std::allocator<double> >::_Vector_base()
  1.45      0.66     0.01   600000     0.02     0.07  double std::accumulate<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double)
  1.45      0.67     0.01      600    16.67    16.67  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.72      0.68     0.01  4801052     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.72      0.68     0.01  2402100     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.72      0.69     0.01  1200000     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator++()
  0.72      0.69     0.01      600     8.34    25.01  int* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.69     0.00  8401052     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.00      0.69     0.00  6602104     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      0.69     0.00  4800000     0.00     0.00  std::move_iterator<double*>::base() const
  0.00      0.69     0.00  4800000     0.00     0.00  std::move_iterator<double*>::move_iterator(double*)
  0.00      0.69     0.00  4800000     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<double*>(std::move_iterator<double*>)
  0.00      0.69     0.00  4800000     0.00     0.00  double* std::__miter_base<double*>(double*)
  0.00      0.69     0.00  4800000     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  0.00      0.69     0.00  3601050     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
  0.00      0.69     0.00  3002104     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00      0.69     0.00  3001052     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00      0.69     0.00  3001052     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00      0.69     0.00  3001052     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  0.00      0.69     0.00  2402102     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  0.00      0.69     0.00  2402102     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00      0.69     0.00  2402100     0.00     0.00  double const* std::__niter_base<double const*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      0.69     0.00  2401052     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  0.00      0.69     0.00  2401052     0.00     0.01  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00      0.69     0.00  2401052     0.00     0.01  std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long)
  0.00      0.69     0.00  2400000     0.00     0.01  std::vector<double, std::allocator<double> >::max_size() const
  0.00      0.69     0.00  2400000     0.00     0.00  double* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.00      0.69     0.00  2400000     0.00     0.01  double* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00      0.69     0.00  2400000     0.00     0.00  double* std::__copy_move_a2<true, double*, double*>(double*, double*, double*)
  0.00      0.69     0.00  2400000     0.00     0.01  double* std::uninitialized_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00      0.69     0.00  2400000     0.00     0.00  std::remove_reference<double&>::type&& std::move<double&>(double&)
  0.00      0.69     0.00  1801052     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00      0.69     0.00  1801052     0.00     0.01  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00      0.69     0.00  1201052     0.00     0.02  std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&)
  0.00      0.69     0.00  1201050     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<double> >::_S_select_on_copy(std::allocator<double> const&)
  0.00      0.69     0.00  1201050     0.00     0.00  std::vector<double, std::allocator<double> >::end() const
  0.00      0.69     0.00  1201050     0.00     0.00  std::vector<double, std::allocator<double> >::begin() const
